ocel_event_id;ocel_IoT_object_id;ocel_qualifier
trs_entrytr8;rfidEMPMPR;RFID tag read at entrance
check_abnormalitytr19;rfidSHHSUU;RFID tag read at empty truck weighing
determine_continuanceSilo18;Temp18;Temperature sensor for determining the pickup continuation
determine_continuanceSilo18;Humd18;Humidity sensor for determining the pickup continuation
determine_continuanceSilo18;GrainTemp52;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo18;GrainTemp53;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo18;GrainTemp54;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr8;WS12;Weight sensor for empty truck weighing
weigh_empty_trucktr23;WS17;Weight sensor for empty truck weighing
weigh_empty_trucktr26;WS07;Weight sensor for empty truck weighing
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr26;rfidLVVLVI;RFID tag read at empty truck weighing
trs_entrytr13;rfidARBJWY;RFID tag read at entrance
weigh_loaded_trucktr16;WS19;Weight sensor for loaded truck weighing
weigh_empty_trucktr13;WS16;Weight sensor for empty truck weighing
check_abnormalitytr8;rfidEMPMPR;RFID tag read at empty truck weighing
trs_entrytr43;rfidKCZYCR;RFID tag read at entrance
determine_continuanceSilo7;Temp7;Temperature sensor for determining the pickup continuation
determine_continuanceSilo7;Humd7;Humidity sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp19;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp20;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo7;GrainTemp21;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;Temp17;Temperature sensor for determining the pickup continuation
determine_continuanceSilo17;Humd17;Humidity sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp49;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp50;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp51;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr43;WS20;Weight sensor for empty truck weighing
check_abnormalitytr43;rfidKCZYCR;RFID tag read at empty truck weighing
check_abnormalitytr23;rfidPQRPER;RFID tag read at empty truck weighing
trs_entrytr15;rfidPQEPJB;RFID tag read at entrance
trs_entrytr28;rfidRLRDIX;RFID tag read at entrance
trs_entrytr1;rfidGBSJOX;RFID tag read at entrance
check_abnormalitytr13;rfidARBJWY;RFID tag read at empty truck weighing
weigh_empty_trucktr15;WS01;Weight sensor for empty truck weighing
weigh_empty_trucktr28;WS04;Weight sensor for empty truck weighing
check_abnormalitytr28;rfidRLRDIX;RFID tag read at empty truck weighing
weigh_empty_trucktr1;WS13;Weight sensor for empty truck weighing
trs_entrytr35;rfidPBXSPB;RFID tag read at entrance
trs_entrytr46;rfidSQRAVV;RFID tag read at entrance
weigh_empty_trucktr46;WS07;Weight sensor for empty truck weighing
trs_entrytr14;rfidXBNNKM;RFID tag read at entrance
weigh_loaded_trucktr25;WS18;Weight sensor for loaded truck weighing
weigh_empty_trucktr14;WS09;Weight sensor for empty truck weighing
check_abnormalitytr46;rfidSQRAVV;RFID tag read at empty truck weighing
weigh_empty_trucktr35;WS14;Weight sensor for empty truck weighing
check_abnormalitytr1;rfidGBSJOX;RFID tag read at empty truck weighing
check_abnormalitytr15;rfidPQEPJB;RFID tag read at empty truck weighing
trs_entrytr40;rfidUTCXLY;RFID tag read at entrance
determine_continuanceSilo10;Temp10;Temperature sensor for determining the pickup continuation
determine_continuanceSilo10;Humd10;Humidity sensor for determining the pickup continuation
determine_continuanceSilo10;GrainTemp28;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo10;GrainTemp29;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo10;GrainTemp30;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr50;rfidJLHJTQ;RFID tag read at entrance
check_abnormalitytr35;rfidPBXSPB;RFID tag read at empty truck weighing
trs_entrytr7;rfidVERXCO;RFID tag read at entrance
weigh_loaded_trucktr12;WS18;Weight sensor for loaded truck weighing
check_abnormalitytr14;rfidXBNNKM;RFID tag read at empty truck weighing
weigh_empty_trucktr7;WS16;Weight sensor for empty truck weighing
determine_continuanceSilo16;Temp16;Temperature sensor for determining the pickup continuation
determine_continuanceSilo16;Humd16;Humidity sensor for determining the pickup continuation
determine_continuanceSilo16;GrainTemp46;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo16;GrainTemp47;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo16;GrainTemp48;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr40;WS01;Weight sensor for empty truck weighing
weigh_empty_trucktr50;WS20;Weight sensor for empty truck weighing
determine_continuanceSilo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continuanceSilo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr37;rfidCNJHRI;RFID tag read at entrance
determine_continuanceSilo16;Temp16;Temperature sensor for determining the pickup continuation
determine_continuanceSilo16;Humd16;Humidity sensor for determining the pickup continuation
determine_continuanceSilo16;GrainTemp46;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo16;GrainTemp47;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo16;GrainTemp48;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr41;rfidHTVXVN;RFID tag read at entrance
check_abnormalitytr40;rfidUTCXLY;RFID tag read at empty truck weighing
weigh_loaded_trucktr18;WS15;Weight sensor for loaded truck weighing
weigh_empty_trucktr37;WS11;Weight sensor for empty truck weighing
check_abnormalitytr7;rfidVERXCO;RFID tag read at empty truck weighing
weigh_empty_trucktr41;WS13;Weight sensor for empty truck weighing
check_abnormalitytr50;rfidJLHJTQ;RFID tag read at empty truck weighing
trs_entrytr5;rfidSFXKWU;RFID tag read at entrance
weigh_empty_trucktr5;WS04;Weight sensor for empty truck weighing
check_abnormalitytr5;rfidSFXKWU;RFID tag read at empty truck weighing
check_abnormalitytr41;rfidHTVXVN;RFID tag read at empty truck weighing
trs_entrytr4;rfidETCTYM;RFID tag read at entrance
weigh_loaded_trucktr32;WS10;Weight sensor for loaded truck weighing
check_abnormalitytr37;rfidCNJHRI;RFID tag read at empty truck weighing
trs_entrytr36;rfidVKTBCE;RFID tag read at entrance
weigh_empty_trucktr36;WS09;Weight sensor for empty truck weighing
weigh_empty_trucktr4;WS19;Weight sensor for empty truck weighing
trs_entrytr48;rfidILUGGL;RFID tag read at entrance
check_abnormalitytr36;rfidVKTBCE;RFID tag read at empty truck weighing
trs_entrytr44;rfidDUQTMP;RFID tag read at entrance
determine_continuanceSilo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continuanceSilo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr4;rfidETCTYM;RFID tag read at empty truck weighing
weigh_empty_trucktr44;WS20;Weight sensor for empty truck weighing
weigh_empty_trucktr48;WS07;Weight sensor for empty truck weighing
determine_continuanceSilo10;Temp10;Temperature sensor for determining the pickup continuation
determine_continuanceSilo10;Humd10;Humidity sensor for determining the pickup continuation
determine_continuanceSilo10;GrainTemp28;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo10;GrainTemp29;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo10;GrainTemp30;3rd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo6;Temp6;Temperature sensor for determining the pickup continuation
determine_continuanceSilo6;Humd6;Humidity sensor for determining the pickup continuation
determine_continuanceSilo6;GrainTemp16;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo6;GrainTemp17;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo6;GrainTemp18;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr44;rfidDUQTMP;RFID tag read at empty truck weighing
check_abnormalitytr48;rfidILUGGL;RFID tag read at empty truck weighing
weigh_loaded_trucktr3;WS17;Weight sensor for loaded truck weighing
trs_entrytr22;rfidQAZFOJ;RFID tag read at entrance
trs_entrytr42;rfidWKFZQT;RFID tag read at entrance
determine_continuanceSilo8;Temp8;Temperature sensor for determining the pickup continuation
determine_continuanceSilo8;Humd8;Humidity sensor for determining the pickup continuation
determine_continuanceSilo8;GrainTemp22;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo8;GrainTemp23;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo8;GrainTemp24;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr22;WS12;Weight sensor for empty truck weighing
check_abnormalitytr22;rfidQAZFOJ;RFID tag read at empty truck weighing
trs_entrytr10;rfidNJVBRP;RFID tag read at entrance
weigh_empty_trucktr42;WS10;Weight sensor for empty truck weighing
trs_entrytr24;rfidPGFJDN;RFID tag read at entrance
determine_continuanceSilo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continuanceSilo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
trs_entrytr30;rfidWVBFTX;RFID tag read at entrance
trs_entrytr11;rfidAGFLBP;RFID tag read at entrance
weigh_empty_trucktr30;WS03;Weight sensor for empty truck weighing
trs_entrytr39;rfidWOXYMT;RFID tag read at entrance
determine_continuanceSilo17;Temp17;Temperature sensor for determining the pickup continuation
determine_continuanceSilo17;Humd17;Humidity sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp49;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp50;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo17;GrainTemp51;3rd grain temperature sensor for determining the pickup continuation
check_abnormalitytr30;rfidWVBFTX;RFID tag read at empty truck weighing
weigh_empty_trucktr24;WS16;Weight sensor for empty truck weighing
weigh_empty_trucktr39;WS07;Weight sensor for empty truck weighing
check_abnormalitytr39;rfidWOXYMT;RFID tag read at empty truck weighing
weigh_empty_trucktr10;WS11;Weight sensor for empty truck weighing
weigh_empty_trucktr11;WS04;Weight sensor for empty truck weighing
check_abnormalitytr42;rfidWKFZQT;RFID tag read at empty truck weighing
trs_entrytr27;rfidOGWMQM;RFID tag read at entrance
weigh_loaded_trucktr20;WS12;Weight sensor for loaded truck weighing
check_abnormalitytr24;rfidPGFJDN;RFID tag read at empty truck weighing
weigh_empty_trucktr27;WS05;Weight sensor for empty truck weighing
check_abnormalitytr10;rfidNJVBRP;RFID tag read at empty truck weighing
trs_entrytr9;rfidAIKMVD;RFID tag read at entrance
check_abnormalitytr11;rfidAGFLBP;RFID tag read at empty truck weighing
weigh_empty_trucktr9;WS06;Weight sensor for empty truck weighing
check_abnormalitytr9;rfidAIKMVD;RFID tag read at empty truck weighing
trs_entrytr8;rfidEMPMPR;RFID tag read at entrance
weigh_loaded_trucktr43;WS11;Weight sensor for loaded truck weighing
trs_entrytr31;rfidPCHSPX;RFID tag read at entrance
trs_entrytr38;rfidSETHFQ;RFID tag read at entrance
weigh_empty_trucktr31;WS09;Weight sensor for empty truck weighing
check_abnormalitytr27;rfidOGWMQM;RFID tag read at empty truck weighing
weigh_empty_trucktr8;WS18;Weight sensor for empty truck weighing
trs_entrytr19;rfidSHHSUU;RFID tag read at entrance
trs_entrytr17;rfidRSRUSS;RFID tag read at entrance
trs_entrytr34;rfidPEHJWR;RFID tag read at entrance
check_abnormalitytr8;rfidEMPMPR;RFID tag read at empty truck weighing
weigh_empty_trucktr38;WS10;Weight sensor for empty truck weighing
trs_entrytr16;rfidTVEOGG;RFID tag read at entrance
weigh_empty_trucktr17;WS04;Weight sensor for empty truck weighing
check_abnormalitytr31;rfidPCHSPX;RFID tag read at empty truck weighing
determine_continuanceSilo6;Temp6;Temperature sensor for determining the pickup continuation
determine_continuanceSilo6;Humd6;Humidity sensor for determining the pickup continuation
determine_continuanceSilo6;GrainTemp16;1st grain temperature sensor for determining the pickup continuation
determine_continuanceSilo6;GrainTemp17;2nd grain temperature sensor for determining the pickup continuation
determine_continuanceSilo6;GrainTemp18;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_trucktr34;WS01;Weight sensor for empty truck weighing
weigh_empty_trucktr19;WS16;Weight sensor for empty truck weighing
trs_entrytr6;rfidVIJCAW;RFID tag read at entrance
trs_entrytr47;rfidZIMVBU;RFID tag read at entrance
check_abnormalitytr38;rfidSETHFQ;RFID tag read at empty truck weighing
weigh_empty_trucktr6;WS11;Weight sensor for empty truck weighing
weigh_empty_trucktr16;WS19;Weight sensor for empty truck weighing
trs_entrytr29;rfidDXYTZF;RFID tag read at entrance
check_abnormalitytr17;rfidRSRUSS;RFID tag read at empty truck weighing
